Trial,Status,Final Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,Batch_Size,gamma,target_update_interval,After 200000,After 400000,After 600000,After 800000,After 1000000
1,Completed,22.68,21,0.000167772,0.024075813,0.002410852,0.276269589,256,0.999197903,5726,3.74,17.02,18.12,30.18,22.68
2,Completed,13.4,12,0.000124495,0.025416125,0.003128649,0.261212651,128,0.998763991,6714,25.74,3.76,2.22,6.48,13.4
3,Completed,11.4,10.4,2.73E-05,0.032756892,0.005972542,0.342863269,256,0.999024867,10087,0.42,26.38,21.06,19.16,11.4
4,Completed,0.4,0.4,7.61E-05,0.054040262,0.003654119,0.380236172,128,0.996692455,3818,9.52,25.88,22.48,12.28,0.4
5,Completed,4.28,4,0.000104597,0.022336736,0.001420887,0.152459652,64,0.997491419,10112,11.36,14.24,17.32,3.26,4.28
6,Completed,9.18,8.2,4.09E-05,0.015372662,0.002998163,0.287815455,128,0.999005865,4396,0,14.12,18.48,14.12,9.18
7,Completed,29.28,27.8,0.000399845,0.019054938,0.001037859,0.303192533,256,0.999779508,5121,5.16,9.48,1.92,21.62,29.28
8,Completed,15.96,14.8,1.88E-05,0.026666709,0.002091006,0.392554785,256,0.999761057,1324,0,14.74,15.56,11.42,15.96
9,Completed,9.76,9.2,3.41E-05,0.040359473,0.00368532,0.129358382,256,0.999877582,7500,0,25.84,11.26,10.16,9.76
10,Completed,18.62,17.6,0.000264024,0.014515876,0.003032611,0.253524869,64,0.999569637,6096,8.54,31.26,26.86,9.88,18.62
11,Completed,16.32,15.8,0.000664765,0.014464755,0.002609357,0.284835041,128,0.999677541,2015,6.2,28.26,12.8,28.42,16.32
12,Pruned,2.32,2.2,0.000150715,0.022599318,0.001043437,0.232023812,64,0.999864321,3804,21.36,0.72,4.96,2.32,
13,Completed,19.16,17.8,0.00058617,0.03347564,0.001426957,0.117027316,128,0.999871289,11368,19.28,30.68,13,13.94,19.16
14,Pruned,2.16,2,0.000148834,0.014773765,0.008824002,0.267188394,64,0.99989706,9816,27.44,33.56,16.5,15.36,2.16
15,Pruned,1.1,1,0.00010474,0.021931484,0.001224765,0.419621717,128,0.998817686,2700,17.82,27.42,1.1,,
16,Pruned,0.24,0.2,0.000295296,0.070139397,0.003673299,0.146953895,128,0.999815336,2175,9.26,9.38,0.24,,
17,Pruned,7.1,6.8,0.000908778,0.013807855,0.001051788,0.400369312,128,0.999215821,10517,27.54,9.36,15.02,7.1,
18,Completed,33.9,31.6,0.000645814,0.032639192,0.002635427,0.322317346,256,0.999803706,4228,23.56,12.08,28.58,20.28,33.9
19,Pruned,0.82,0.8,0.000813857,0.048196665,0.004925057,0.358250052,128,0.999788969,7144,25.14,11.4,24.68,0.82,
20,Completed,34.04,31.2,0.000989646,0.011006929,0.00412265,0.10782248,128,0.999864495,6357,2.76,30.68,25.88,20.68,34.04
21,Pruned,0.66,0.6,0.000499032,0.010913448,0.006453856,0.242666661,32,0.999371649,8155,2.04,0.66,,,
22,Pruned,12.48,11.6,4.25E-05,0.011141847,0.002322064,0.336917017,256,0.999882299,5394,23.3,12.48,,,
23,Pruned,3.96,3.6,0.000438546,0.010627528,0.001853175,0.216004928,128,0.99974636,11423,13.76,3.96,,,
24,Pruned,0,0,3.86E-05,0.041744358,0.001714491,0.275101308,256,0.998718196,9713,0,,,,
25,Pruned,12.24,10.8,8.04E-05,0.02804152,0.002253583,0.397110909,128,0.999636985,1594,13.74,12.24,,,
26,Completed,23.26,20.8,0.00060557,0.01757503,0.002240531,0.333455795,256,0.999183697,10395,37.06,18.1,32.58,22.58,23.26
27,Pruned,0,0,1.51E-05,0.053051203,0.009129922,0.210583475,256,0.999697303,1474,0,,,,
28,Pruned,1.32,1.2,5.85E-05,0.024693972,0.001489871,0.163307754,256,0.999889329,10588,24.98,16.16,18.52,1.32,
29,Pruned,2.62,2.2,7.33E-05,0.012248907,0.003756595,0.225829321,128,0.997903784,13171,20.04,18.28,2.62,,
30,Pruned,15.76,15.2,0.00019078,0.016544256,0.001811319,0.200668636,128,0.999758905,3992,14.72,25.18,15.76,,
31,Pruned,14.56,13.6,0.000103521,0.026386207,0.00671347,0.246651842,256,0.999346262,11263,23.66,22.56,19.54,26.66,14.56
32,Pruned,8.52,7.6,0.000317301,0.0288982,0.001585479,0.101312421,256,0.999563426,9254,21.4,8.52,,,
33,Pruned,10.26,9.6,0.000458972,0.011691279,0.003977798,0.113641522,128,0.999892888,3100,10.3,30.3,10.26,,
34,Pruned,1.26,1.2,3.56E-05,0.03547938,0.004871277,0.274549954,256,0.999593889,1687,1.26,,,,
35,Completed,35.94,33,0.000718037,0.020376688,0.006925368,0.305684505,128,0.999851328,3867,12.32,21.04,28.66,29.94,35.94
36,Pruned,0.88,0.6,0.000420547,0.029665821,0.002628371,0.157035766,128,0.999729152,6790,0.88,,,,
37,Pruned,0,0,1.32E-05,0.049116853,0.006943772,0.301053631,64,0.999776754,10105,0,,,,
38,Pruned,6.66,5.8,9.89E-05,0.057152464,0.001137927,0.341155686,256,0.999801161,3543,6.66,,,,
39,Pruned,0.22,0.2,0.000307909,0.014024549,0.004019263,0.260081629,64,0.999855183,6685,36.34,0.22,,,
40,Pruned,0.6,0.6,3.33E-05,0.044912181,0.002124899,0.327627009,128,0.999871299,3722,0.6,,,,
41,Completed,6.460000000000001,5.800000000000001,5.398624606820738e-05,0.01770287371774595,0.004420270434807874,0.22395912329468506,128,0.9997300694331421,4397,19.34,0.8,12.1,15.940000000000001,6.460000000000001
42,Completed,13.719999999999999,12.2,3.587189259783327e-05,0.02366747649723385,0.0031115042959116808,0.4520033324428313,256,0.9998912332267129,4826,9.64,25.5,9.28,8.58,13.719999999999999
43,Pruned,0.2,0.2,2.8754938589426594e-05,0.016426870832973055,0.0015308846718966392,0.4943156224374775,256,0.9997514733717655,1234,0.2,,,,
44,Pruned,2.9,2.6,4.3190285831228056e-05,0.016519342837334913,0.0013931379935720343,0.3217231388746019,256,0.9998920173469997,5225,19.86,29.0,9.68,2.9,
45,Completed,9.399999999999999,8.799999999999999,5.5395461728998325e-05,0.016642545626292762,0.004429884969480251,0.41366942181369604,128,0.9998230382535983,3656,22.400000000000002,14.32,9.82,10.940000000000001,9.399999999999999
46,Pruned,6.620000000000001,5.800000000000001,3.0423694298652394e-05,0.01837279072057129,0.007198905638436735,0.4543971721146476,512,0.9998080055783287,6634,11.08,26.38,6.620000000000001,,
47,Pruned,1.94,1.7999999999999998,3.16613722534342e-05,0.01952040687881798,0.0022656308067579953,0.40318341128140966,512,0.9994727202589848,3061,25.1,1.94,,,
48,Completed,12.98,11.4,1.6249638113514604e-05,0.04482330997584098,0.003423863246895418,0.7475819491952037,256,0.9991061445738613,4252,0.0,0.2,19.06,21.400000000000002,12.98
49,Completed,18.259999999999998,16.2,2.878232958541467e-05,0.06550840306634177,0.0029447680735335867,0.7208915296639643,256,0.9997833410512996,3881,1.26,6.760000000000001,10.84,14.420000000000002,18.259999999999998
50,Completed,0.0,0.0,7.778922607503059e-05,0.04897283662960338,0.003680170065329177,0.7464265465070671,256,0.9997534015846642,5892,11.5,19.82,25.360000000000003,0.02,0.0
51,Completed,9.879999999999999,8.799999999999999,1.8929275193377083e-05,0.04137562969401626,0.0022228833640207802,0.7271306734446419,128,0.9997897655501155,4483,0.0,10.04,18.82,16.48,9.879999999999999
52,Completed,5.64,5.0,2.2091503653804127e-05,0.08203792053495734,0.003959462809112171,0.88957322291128,256,0.9996366319706136,3211,0.0,3.66,3.5,4.78,5.64
