Trial,Status,Final Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,gamma,target_update_interval,After 200000,After 400000,After 600000,After 800000,After 1000000
1,Completed,21.72,19.2,9.630058148750838e-05,0.1113908460052702,0.00021448724893848646,0.3111018015389204,0.9998625504510444,10819,2.42,5.0,12.840000000000002,20.3,21.72
2,Completed,4.48,4.0,1.1256683538959258e-05,0.03185589570980239,0.0028470145027860703,0.5814566299361775,0.9994413984295825,4115,0.0,0.0,0.0,2.2399999999999998,4.48
3,Completed,8.079999999999998,7.199999999999999,2.0072447161103203e-05,0.013304654758849385,0.0010145524614681009,0.23841858661946463,0.9997505745074875,12457,0.64,15.040000000000001,18.360000000000003,21.540000000000003,8.079999999999998
4,Completed,25.9,24.0,8.068587794001632e-05,0.034902021795776283,0.00014416994733084044,0.851696825908614,0.9998991984696648,3233,5.88,14.32,21.26,24.64,25.9
5,Completed,6.2,5.4,1.977310064262974e-05,0.055992370734905386,0.0002826932059270758,0.4322802603789705,0.9996218789491756,11253,0.0,0.42000000000000004,4.84,7.460000000000001,6.2
6,Completed,9.66,9.2,6.94082218550339e-05,0.02092345865176014,0.0015278964014413064,0.5469396246916971,0.9998864986845407,3064,17.32,18.580000000000002,12.020000000000001,14.820000000000002,9.66
7,Completed,20.86,18.2,8.657364763894509e-05,0.05118728417547834,0.000319309508404556,0.4606807729947817,0.9997856989571139,7523,6.82,19.04,22.22,28.0,20.86
8,Completed,1.82,1.6,2.7338592709486544e-05,0.06355439070116732,0.00013608216576809968,0.8391542902596054,0.9998985777860097,5949,0.0,2.24,2.6799999999999997,2.76,1.82
9,Completed,0.48000000000000004,0.4,3.996263990065821e-05,0.1609016935108518,0.000538347785779097,0.4971739985303345,0.9996902845466265,13481,0.6799999999999999,1.2000000000000002,1.16,1.56,0.48000000000000004
10,Completed,11.56,10.4,5.4666562228795e-05,0.01667840420804369,0.00016473680966053072,0.26619294709880315,0.9997918259997405,8862,20.619999999999997,11.7,6.6,6.1000000000000005,11.56
11,Completed,26.46,24.6,8.72099414563534e-05,0.04534072571482524,0.001046453824224987,0.9373879948944631,0.9997651251756351,4752,6.6,16.6,23.7,27.96,26.46
12,Completed,24.04,21.8,9.047146524471372e-05,0.06803153421365479,0.00030426333542048754,0.4893857748423316,0.9998576416080093,11638,4.119999999999999,12.08,11.64,23.68,24.04
13,Completed,15.78,14.799999999999999,3.9033082011907394e-05,0.048068228890891074,0.0006003301264460776,0.7782830048528435,0.999690635533697,5067,2.0,3.8400000000000003,4.5600000000000005,10.64,15.78
14,Completed,28.240000000000002,25.6,9.453373317882375e-05,0.10681642378043527,0.0008721325928610445,0.5273742230364273,0.9998711331241629,3987,0.76,4.28,12.659999999999998,23.32,28.240000000000002
15,Completed,30.320000000000004,27.800000000000004,5.307236779696563e-05,0.036942732271483224,0.0004214614434491026,0.9155330865231727,0.9996199433451062,7247,14.42,16.94,17.66,18.28,30.320000000000004
16,Completed,19.06,17.599999999999998,5.4749529965997255e-05,0.14114248229304546,0.004916445783499896,0.4416945837306939,0.9997945876876981,9215,0.98,1.08,1.9999999999999998,11.92,19.06
17,Completed,7.5200000000000005,6.800000000000001,5.749453652295792e-05,0.013572951709328738,0.000604316356086573,0.8437570609240723,0.9991819102985092,4691,17.54,15.020000000000001,11.6,10.64,7.5200000000000005
18,Completed,37.559999999999995,34.599999999999994,9.799587151708209e-05,0.046020275976503246,0.004842825947198844,0.7978273294414228,0.9997843068633014,7115,11.16,16.24,28.04,33.62,37.559999999999995
19,Completed,25.3,22.8,8.977685680742497e-05,0.01796014383033403,0.0025348989258090018,0.569822574651333,0.9998787450946528,9937,24.14,12.819999999999999,14.6,27.48,25.3
20,Completed,30.88,28.599999999999998,9.34011742696176e-05,0.0263005222652059,0.00015334566445133053,0.9299573582544544,0.9991428356226403,10821,19.18,23.66,23.7,26.94,30.88
21,Completed,21.8,19.6,9.073661846583893e-05,0.08173734175485581,0.0011593551894190945,0.5405442529472106,0.9997999003508368,5163,1.5,2.0599999999999996,20.22,20.98,21.8
22,Completed,1.3399999999999999,1.2,3.131302511736315e-05,0.13649688399490606,0.0009657371457971354,0.97271843198174,0.999459847507782,8320,0.8400000000000001,0.54,0.86,1.58,1.3399999999999999
23,Completed,27.880000000000003,25.6,4.816376619021963e-05,0.051420672220228836,0.0032144986182751647,0.5022179524506659,0.9994882133693732,10616,4.32,6.58,12.3,19.02,27.880000000000003
